# Value|Alternate Value
AND|&
LIMITED|L
SOUTH|S
1|01
2|02
3|03
4|04
5|05
6|06
7|07
8|08
9|09
ALASKA|AK
AIRLINE|AL
ALABAMA|AL
ARKANSAS|AR
AMERICAN SAMOA|AS
ARIZONA|AZ
CALIFORNIA|CA
COLORADO|CO
COMMINUCATION|CO
COMPANY|CO
CONNECTICUT|CT
DISTRICT OF COLUMBIA|DC
DELAWARE|DE
DOCTOR|DR
FLORIDA|FL
FEDERATED STATES OF MICRONESIA|FM
GEORGIA|GA
GUAM|GU
HAWAII|HI
HIGH|HI
HOLDINGS|HO
HEADQUARTER|HQ
IOWA|IA
IDAHO|ID
ILLINOIS|IL
INDIANA|IN
KANSAS|KS
KENTUCKY|KY
LOUISIANA|LA
MASSACHUSETTS|MA
DOCTOR|MD
MARYLAND|MD
MAINE|ME
MARSHALL ISLANDS|MH
MICHIGAN|MI
MINNESOTA|MN
MISSOURI|MO
MOHAMMAD|MO
NORTHERN MARIANA ISLANDS|MP
MISSISSIPPI|MS
MONTANA|MT
MOUNT|MT
MOUNTAIN|MT
NORTH CAROLINA|NC
NORTH DAKOTA|ND
NEBRASKA|NE
NEW HAMPSHIRE|NH
NEW JERSEY|NJ
NEW MEXICO|NM
NEVADA|NV
NEW YORK|NY
OHIO|OH
OKLAHOMA|OK
OREGON|OR
ORGANIZATION|OR
PENNSYLVANIA|PA
PHILLIPPINES|PH
PUERTO RICO|PR
PALAU|PW
RHODE ISLAND|RI
RAILROAD|RR
SOUTH CAROLINA|SC
SOUTH DAKOTA|SD
SAINT|ST
TENNESSEE|TN
TELEVISION|TV
TEXAS|TX
UTAH|UT
VIRGINIA|VA
VIRGIN ISLANDS|VI
VERMONT|VT
WASHINGTON|WA
WISCONSIN|WI
WEST VIRGINIA|WV
WYOMING|WY
FIRST|1ST
AIRLINE|A/L
ACCESSORY|ACC
ADMIN|ADM
ADVANCE|ADV
ALABAMA|ALA
APARTMENT|APT
ARKANSAS|ARK
BUSINESS|BIZ
CAPITAL|CAP
CAPITOL|CAP
CABLE|CBL
CLEAR|CLR
COLOR|CLR
COMPANY|COM
CENTER|CTR
CANYON|CYN
DELAWARE|DEL
DEVELOPMENT|DEV
ENTERPRISES|ENT
ESQUIRE|ESQ
EXTENSION|EXT
FEDERAL|FED
FLORIDA|FLA
FREIGHT|FRT
FACTORY|FTY
GARDEN|GDN
GROUP|GRP
HOSPITAL|HSP
HEATING|HTG
HYGIENE|HYG
ILLINOIS|ILL
IMAGE|IMG
INCORPORATED|INC
INCORPORATION|INC
INDIANA|IND
INDUSTRIES|IND
INDUSTRY|IND
INTERNATIONAL|INT
JOSEPH|J0E
KANSAS|KAN
LABORATORY|LAB
LIBRARIES|LIB
LIMITED|LMT
LIMITED|LTD
MEDITSKKAYA|MED
MANUFACTURING|MFG
MANAGEMENT|MGT
MARKET|MKT
MOUNTAIN|MNT
NAVIGATION|NAV
NEBRASKA|NEB
NEVADA|NEV
OFFICE|OFC
OFFICES|OFC
1|ONE
OREGON|ORE
ORGANIZATION|ORG
PICTURES|PIC
