# Value|Frequency
NY+STREAM|5846
LAKEVILLE+PARK|3717
11803+888|4397
400+E|2731
FLOOR+NY|5404
101+GLEN|4157
CITY+NY|3613
NY+RIVERHEAD|3771
11803+PLAINVIEW|5523
SHORE+ST|6980
900+NY|4990
GREAT+STE|2763
450+LAKEVILLE|2303
11042+HYDE|10072
10075+E|11694
AVE+RIVERHEAD|3032
221+JERICHO|4019
888+OLD|4398
100+77TH|10300
PLAINVIEW+RD|5467
MARCUS+NY|6164
GREAT+NORTHERN|4257
BROADWAY+HOLLOW|3350
263RD+NY|2502
263RD+ST|2496
NY+YORK|42176
E+KISCO|2728
GLEN+OAKS|3145
AVE+STATEN|12773
10087+NEW|4375
66TH+NY|5002
E+SHORE|7224
66TH+RD|4881
E+STE|2706
300+COMMUNITY|14430
10201+66TH|2537
1300+NY|3128
100+10075|10201
ISLAND+SEAVIEW|8974
NY+PARK|37408
130+NY|2033
FLOOR+YORK|2221
263RD+OAKS|2494
101+COVE|4156
AVE+NY|66287
OLD+PLAINVIEW|5283
NORTH+NY|5964
102+NY|2990
JERICHO+TURNPIKE|2570
LAKE+SUCCESS|2066
10021+NY|3158
210+NY|2105
10021+ST|2566
888+COUNTRY|4396
10016+NEW|2600
BAY+SHORE|8527
11021+NECK|5500
BAY+E|7004
27005+PARK|9363
NY+SUCCESS|2066
11042+MARCUS|6017
101+ANDREWS|2671
OLD+RD|5897
475+ISLAND|8073
HOLLOW+SLEEPY|3819
900+AVE|4807
1+NY|4327
11004+263RD|2479
MANHASSET+NY|21496
POBOX+YORK|4837
PARK+STE|2885
BAY+NY|9571
PARK+RD|4204
BAY+ST|7480
10+NY|3394
SEAVIEW+STATEN|8974
MAIN+SHORE|6975
11042+LAKEVILLE|3691
270+NY|10426
ANDREWS+LN|2668
ANDREWS+NY|2672
HYDE+NY|29388
STREAM+VALLEY|5844
HYDE+RD|4065
NEW+W|3350
MAIN+NY|13545
MAIN+ST|13567
475+NY|8134
10201+NY|2539
10201+RD|2537
100+YORK|10643
11901+NY|3396
ISLIP+NY|2742
11004+GLEN|2877
11901+AVE|3031
475+AVE|8076
10065+YORK|3827
LN+NY|5677
LN+ST|2379
11580+VALLEY|5011
300+MANHASSET|14464
76TH+PARK|17658
AVE+MARCUS|6152
HYDE+LAKEVILLE|3719
11375+FOREST|6235
301+SHORE|5763
NY+TPKE|2986
11580+NY|5016
COMMUNITY+NECK|2709
11706+E|8263
05+11040|5075
FRANKLIN+STREAM|4789
701+BROADWAY|2792
BLVD+NY|10765
10065+NY|3829
102+11375|2077
NY+SEAVIEW|9164
10065+ST|2984
11743+270|5857
400+MOUNT|2469
301+BAY|5760
LAKEVILLE+NY|4190
NY+QUEENS|2229
LAKEVILLE+RD|4186
11021+BLVD|4222
AVE+ISLAND|12931
OAKS+ST|2516
888+PLAINVIEW|4396
200+NECK|2115
DR+NY|24336
COMMUNITY+GREAT|2709
10065+E|2984
MARCUS+PARK|5027
10087+5051|4333
888+NY|4411
DR+MANHASSET|18819
888+RD|4402
26901+HYDE|4131
MINEOLA+NY|2165
BROADWAY+SLEEPY|3292
11743+AVE|6232
11040+76TH|17593
AVE+SEAVIEW|8980
450+NY|3074
450+RD|2326
11580+900|4716
FLUSHING+NY|2530
HOLLOW+N|3364
EAST+NY|2229
MOUNT+NY|3875
AVE+STREAM|4908
MOUNT+ST|2626
102+HILLS|2085
CITY+GARDEN|3283
NY+OAKS|3162
10591+HOLLOW|3497
AVE+NORTH|3386
11706+SHORE|7471
05+76TH|5087
701+HOLLOW|2745
NEW+NY|63497
NEW+RD|4159
NEW+ST|23625
101+LN|4151
101+NY|5124
1ST+NY|3087
11021+STE|2191
101+ST|2546
MARCUS+NEW|5027
E+MAIN|11626
10016+YORK|2601
NY+VALLEY|5988
10305+SEAVIEW|8927
26901+NEW|4131
270+76TH|5107
COMMUNITY+MANHASSET|18800
GLEN+LN|4169
GLEN+NY|8822
GLEN+ST|5058
10305+NY|10692
AVE+YORK|8316
11706+MAIN|8278
BAY+MAIN|7010
76TH+NEW|18481
11030+COMMUNITY|17208
11901+ROANOKE|3003
10201+FOREST|2536
26901+NY|4131
100+NEW|10670
GREAT+NECK|7865
270+NEW|5179
AVE+PARK|28816
2ND+NY|2082
BLVD+GREAT|4261
5051+POBOX|4650
HYDE+NEW|29380
FOREST+HILLS|7087
11030+DR|17229
11030+NY|18193
10305+AVE|10144
10591+701|2799
400+KISCO|2764
BLVD+NORTHERN|5400
11542+ANDREWS|2664
ST+W|3906
NY+ROANOKE|3004
221+NY|4108
01+NY|3751
DR+GREAT|2750
11040+26901|4131
BRONX+NY|4685
NEW+POBOX|4838
301+NY|7611
301+ST|7427
BROADWAY+NY|6451
11375+66TH|4873
11901+RIVERHEAD|3394
26901+AVE|4130
77TH+YORK|11621
AVE+ROANOKE|2982
FRANKLIN+NY|5618
27005+NEW|9363
10549+MAIN|2931
11042+NY|11598
11042+RD|3959
221+TURNPIKE|2176
10087+YORK|4375
11803+COUNTRY|5284
5051+YORK|4650
RD+STE|4599
100+E|10663
10549+E|2724
10591+SLEEPY|3419
HYDE+PARK|29372
NORTHERN+NY|5435
76TH+AVE|17650
77TH+E|11607
102+FOREST|2086
10201+11375|2537
MARCUS+NORTH|3293
900+STREAM|4718
10016+NY|2603
11375+NY|6286
11030+MANHASSET|18165
1300+RIVERHEAD|2815
11375+RD|5041
NY+SHORE|8854
270+AVE|10285
27005+HYDE|9363
11040+PARK|18588
NEW+STE|5911
GARDEN+NY|3294
NORTHERN+STE|2351
10549+MOUNT|3253
05+NEW|5137
10305+475|8036
66TH+FOREST|4877
11020+200|2319
NEW+NORTH|5406
11791+221|4020
701+SLEEPY|2703
5051+NY|4650
11530+AVE|2250
NECK+NORTHERN|4268
NEW+YORK|42186
100+NY|12614
100+ST|10721
05+NY|5358
301+MAIN|7245
27005+NY|9363
05+PARK|5139
JERICHO+SYOSSET|4172
10201+HILLS|2536
AVE+NEW|30066
301+E|7395
11040+NEW|18578
11803+OLD|5285
701+N|2801
NEW+PARK|30694
NY+POBOX|5063
11021+NORTHERN|4220
11706+301|7219
FRANKLIN+VALLEY|4787
270+PARK|10256
DR+NECK|2751
ANDREWS+GLEN|2671
27005+AVE|9363
RIVERHEAD+ROANOKE|3002
76TH+HYDE|17658
11040+27005|9362
200+DR|2513
11706+BAY|7471
200+COMMUNITY|2464
11042+NEW|10072
200+NY|4745
NY+OLD|5894
263RD+GLEN|2491
NY+PLAINVIEW|6232
05+270|5141
LAKE+NY|2220
11530+GARDEN|2682
COUNTRY+PLAINVIEW|5282
10021+YORK|3130
ST+STE|4422
KISCO+NY|4083
11791+NY|5500
KISCO+ST|2933
11580+FRANKLIN|4785
26901+76TH|4131
11042+PARK|10068
