# Value|Standard Value|Word Type
&|&|BLT
AC|AC|PCT
AT|AT|BLT
BS|BS|PCT
DC|DC|PCT
DO|DO|PCT
DR|DR|PCT
GI|GI|PCT
II|II|PST
IV|IV|PST
JR|JR|PST
LC|LC|PCT
LE|LE|PCT
LP|LP|PCT
MA|MA|PCT
MC|MC|PCT
MD|MD|PCT
ME|ME|PCT
MS|MS|PCT
MT|MT|PCT
ND|ND|PCT
NP|NP|PCT
OB|OB|PCT
OD|OD|PCT
OF|OF|BLT
OT|OT|PCT
PA|PA|PCT
PC|PC|BLT
PH|PH|PCT
PS|PS|PCT
PT|PT|PCT
RD|RD|PCT
RN|RN|PCT
SC|SC|BLT
SR|SR|PST
SW|SW|PCT
ACP|ACP|PCT
AND|AND|BLT
ASC|ASC|PCT
BSN|BSN|PCT
CCC|CCC|PCT
CDE|CDE|PCT
CNA|CNA|PCT
CNM|CNM|PCT
CNS|CNS|PCT
CSW|CSW|PCT
DBA|DBA|BLT
DDS|DDS|PCT
DMD|DMD|PCT
DPM|DPM|PCT
FNP|FNP|PCT
III|III|PST
INC|INC|BLT
LCP|LCP|PCT
LLC|LLC|BLT
LLP|LLP|BLT
LPC|LPC|PCT
LPN|LPN|PCT
LPT|LPT|PCT
LTD|LTD|BLT
MBA|MBA|PCT
MFT|MFT|PCT
MPH|MPH|PCT
MSN|MSN|PCT
MST|MST|PCT
MSW|MSW|PCT
MTS|MTS|PCT
OTR|OTR|PCT
PAC|PAC|PCT
PHD|PHD|PCT
PLC|PLC|BLT
PNP|PNP|PCT
PSC|PSC|PCT
RNC|RNC|PCT
RNP|RNP|PCT
RPT|RPT|PCT
SLP|SLP|PCT
THE|THE|BLT
GROUP|GROUP|BLT
COMPANY|COMPANY|BLT
FACFAS|FACFAS|PCT
ASSOCIATES|ASSOCIATES|BLT
INCORP|INCORP|BLT
CORPORATION|CORPORATION|BLT
ABFP|ABFP|PCT
ACSW|ACSW|PCT
ARNP|ARNP|PCT
CADC|CADC|PCT
CCSW|CCSW|PCT
CISW|CISW|PCT
CORP|CORP|BLT
CPNP|CPNP|PCT
CRNA|CRNA|PCT
CRNP|CRNP|PCT
DPSY|DPSY|PCT
FAAD|FAAD|PCT
FAAP|FAAP|PCT
FACC|FACC|PCT
FACP|FACP|PCT
FACS|FACS|PCT
LCSW|LCSW|PCT
LMFT|LMFT|PCT
LMSW|LMSW|PCT
MFCC|MFCC|PCT
MSPA|MSPA|BLT
MSPT|MSPT|PCT
PLLC|PLLC|BLT
PSYD|PSYD|PCT
PTNT|PTNT|BLT
LIMITED|LIMITED|BLT
RNFA|RNFA|PCT
DOCTOR|DOCTOR|PCT
PTRSHIP|PTRSHIP|BLT
PARTNERS|PARTNERS|BLT
AAMFT|AAMFT|PCT
ASSOC|ASSOC|BLT
OBGYN|OBGYN|PCT
CICSW|CICSW|PCT
TECHNICIAN|TECHNICIAN|PCT
CRNFA|CRNFA|PCT
PARTNERSHIP|PARTNERSHIP|BLT
RABBI|RABBI|PCT
INCORPORATE|INCORPORATE|BLT
FAAFP|FAAFP|PCT
FACOG|FACOG|PCT
